 -2.50000000   7812.50000000     0.00000000     0.00000000 abc
 -2.40000000   7200.00000000     0.00000000     0.00000000 abc
 -2.30000000   6612.50000000     0.00000000     0.00000000 abc
 -2.20000000   6050.00000000     0.00000000     0.00000000 abc
 -2.10000000   5512.50000000     0.00000000     0.00000000 abc
 -2.00000000   5000.00000000     0.00000000     0.00000000 abc
 -1.90000000   4512.50000000     0.00000000     0.00000000 abc
 -1.80000000   4050.00000000     0.00000000     0.00000000 abc
 -1.70000000   3612.50000000     0.00000000     0.00000000 abc
 -1.60000000   3200.00000000     0.00000000     0.00000000 abc
 -1.50000000   2812.50000000     0.00000000     0.00000000 abc
